time,anom_recon_median,anom_recon_lo_raw,anom_recon_hi_raw,anom_recon_lo_smooth,anom_recon_hi_smooth,abs_recon_median,abs_recon_lo_raw,abs_recon_hi_raw,abs_recon_lo_smooth,abs_recon_hi_smooth,anom_cmip6_truth,abs_cmip6_truth,anom_recon_model_src,abs_recon_model_src,anom_recon_roll_model_src,abs_recon_roll_model_src,OLS_Recon,MME,Naive,anom_ref_MMM,anom_ref_IAP,anom_ref_GT-OI,anom_ref_UTAS,anom_ref_SJTU-GR,anom_ref_UW,anom_ref_GT-ML,anom_ref_SJTU-JW,anom_ref_SJTU-HZ
1950/1/15,0.000599,0.000182,0.001016,0.000136,0.001062,0.252808,0.252392,0.253225,0.252345,0.253272,0.001742,0.256666,0.00115,0.256074,0.00150864,0.256433,5.12E-05,0.000646501,0.002296282,0.000614,,,,,,,,
1950/2/15,0.001099,0.000523,0.001674,0.000644,0.001554,0.253308,0.252733,0.253884,0.252853,0.253763,0.001438,0.256363,0.001244,0.256169,0.00115302,0.25607737,0.000573373,0.000574218,0.00288567,0.000574,,,,,,,,
1950/3/15,0.000885,0.000414,0.001355,0.000424,0.001345,0.253094,0.252623,0.253565,0.252634,0.253555,0.00138,0.256304,0.00088,0.255805,0.00141063,0.25633499,0.000356747,0.0005562,0.004439628,0.000575,,,,,,,,
1950/4/15,0.000792,0.00035,0.001234,0.000323,0.00126,0.253001,0.252559,0.253443,0.252533,0.25347,0.001382,0.256307,0.00099,0.255914,0.00132886,0.25625322,4.74E-05,0.000551983,0.005132764,0.000575,,,,,,,,
1950/5/15,0.000651,-0.000094,0.001396,0.00019,0.001112,0.25286,0.252115,0.253605,0.2524,0.253321,0.001006,0.25593,0.001168,0.256092,0.00095852,0.25588287,-0.000148934,0.000583134,0.002836161,0.000594,,,,,,,,
1950/6/15,0.000104,-0.000438,0.000646,-0.000358,0.000566,0.252314,0.251772,0.252856,0.251852,0.252776,0.00132,0.256244,0.000785,0.25571,0.0011361,0.25606046,0.000305912,0.000558877,0.002555165,0.00059,,,,,,,,
1950/7/15,0.000539,0.000094,0.000983,0.00008,0.000997,0.252748,0.252304,0.253192,0.252289,0.253206,0.000961,0.255885,0.000868,0.255793,0.00095501,0.25587936,0.000307148,0.000574807,0.00181042,0.000593,,,,,,,,
1950/8/15,0.000083,-0.000168,0.000334,-0.000366,0.000532,0.252293,0.252042,0.252544,0.251844,0.252742,0.000973,0.255897,0.00071,0.255634,0.00099824,0.2559226,0.00048314,0.000587411,0.000485534,0.0006,,,,,,,,
1950/9/15,-0.00009,-0.000406,0.000226,-0.000547,0.000367,0.252119,0.251803,0.252435,0.251663,0.252576,0.000909,0.255834,0.001063,0.255988,0.00103443,0.25595879,0.000294068,0.000566911,0.002357657,0.000589,,,,,,,,
1950/10/15,0.000332,-0.000021,0.000685,-0.00013,0.000794,0.252542,0.252188,0.252895,0.252079,0.253004,0.001112,0.256037,0.001122,0.256047,0.00107395,0.25599831,0.000450271,0.000572799,0.002350006,0.000596,,,,,,,,
